#{"t_start": 1730710221.010298, "env_id": "None"}
r,l,t
-98.738029,100,60.457803
-98.890192,100,60.508865
-98.82505,100,60.560413
-98.888645,100,60.613287
-98.807287,100,60.661671
-98.25452,100,60.737167
-98.5936,100,60.810974
-98.325325,100,60.878702
-98.644651,100,60.943621
-99.136063,100,61.005618
-98.938343,100,61.06878
-97.735484,100,61.131446
-97.407668,100,61.191559
-98.730019,100,62.7356
-97.957928,100,62.814097
-97.38328,100,62.873648
-97.38328,100,62.930214
-97.38328,100,62.986554
-97.38328,100,63.041484
-97.38328,100,63.095282
-98.797746,100,63.177467
-98.725155,100,63.250867
-97.456442,100,63.31964
-97.871093,100,63.386805
-97.846706,100,63.451649
-98.024187,100,63.516495
-98.775103,100,63.582047
-97.407668,100,63.650126
-97.543277,100,63.714614
-98.840244,100,63.778536
-97.38328,100,63.826837
-97.38328,100,63.875618
-97.38328,100,63.923484
-97.38328,100,63.971427
-97.38328,100,64.019157
-98.383161,100,64.089739
-97.957928,100,64.154934
-98.319793,100,64.216748
-99.307416,100,64.277478
-99.290242,100,64.33744
-98.334386,100,64.396945
-98.700196,100,64.457011
-98.312051,100,64.516195
-97.828169,100,64.580099
-98.958926,100,66.199257
-98.717945,100,66.259124
-98.532575,100,66.319272
-98.62526,100,66.375728
-98.731592,100,66.43217
-98.606723,100,66.485616
-99.236717,100,66.571557
-97.846706,100,66.650033
-97.38328,100,66.719131
-98.997297,100,66.787452
-98.978236,100,66.853259
-98.95713,100,66.919085
-98.143298,100,66.98971
-98.941686,100,67.070701
-98.802521,100,67.139508
-99.52213,100,67.210318
-98.643797,100,67.265496
-98.588186,100,67.32711
-98.663107,100,67.39226
-98.768666,100,67.454626
-98.606723,100,67.50868
-98.847704,100,67.591821
-99.613215,100,67.664594
-98.446326,100,67.731188
-99.237905,100,67.795635
-97.822252,100,67.860598
-99.167224,100,67.925191
-99.403066,100,67.996211
-97.818374,100,68.065679
-98.717945,100,68.131434
-98.954036,100,69.644364
-97.38328,100,69.706983
-97.38328,100,69.767232
-97.38328,100,69.824126
-97.38328,100,69.879745
-97.38328,100,69.934652
-98.919033,100,70.012858
-98.421353,100,70.083262
-98.675809,100,70.151393
-97.407668,100,70.217327
-98.565921,100,70.282897
-97.759871,100,70.349433
-98.332561,100,70.413088
-98.1149,100,70.482689
-99.503702,100,70.555184
-98.106224,100,70.619466
-97.38328,100,70.668884
-97.38328,100,70.718497
-97.38328,100,70.767774
-97.38328,100,70.817117
-97.38328,100,70.866265
-98.407548,100,70.942568
-97.574501,100,71.005499
-98.680871,100,71.068976
-99.676877,100,71.130067
-99.241379,100,71.189584
-98.245645,100,71.249439
-99.604176,100,71.310806
-97.578379,100,71.37038
-97.457428,100,71.436657
-98.944069,100,71.498603
-97.38328,100,71.54604
-97.38328,100,71.592199
-97.38328,100,71.638397
-97.38328,100,71.684273
-97.38328,100,71.730101
-98.700196,100,73.292968
-97.675928,100,73.371219
-98.316835,100,73.445755
-99.107222,100,73.517669
-99.407183,100,73.592731
-98.124761,100,73.660639
-98.627034,100,73.728648
-98.057383,100,73.793902
-98.532575,100,73.863396
-98.792093,100,73.933824
-98.050613,100,73.983918
-97.735484,100,74.032938
-97.679873,100,74.08733
-97.754021,100,74.138678
-97.902317,100,74.187635
-97.578379,100,74.260698
-97.553992,100,74.335291
-98.686285,100,74.406438
-98.520808,100,74.475266
-98.050613,100,74.544568
-98.705845,100,74.617908
-97.902317,100,74.69392
-97.895414,100,74.767392
-98.273057,100,74.835736
-97.828169,100,74.902849
-97.809632,100,74.953538
-97.791095,100,75.004146
-97.587188,100,75.052893
-98.013539,100,75.101554
-97.679873,100,75.150681
-97.651541,100,76.692307
-98.143298,100,76.769231
-99.219741,100,76.843802
-98.218366,100,76.915482
-99.493015,100,76.989729
-98.928039,100,77.062344
-97.685723,100,77.135509
-98.797746,100,77.206729
-97.822252,100,77.281315
-98.822133,100,77.351437
-97.401817,100,77.407736
-97.902317,100,77.459946
-97.457428,100,77.511765
-97.38328,100,77.564955
-97.605725,100,77.614154
-98.569649,100,77.692526
-97.38328,100,77.770212
-98.316567,100,77.835244
-98.476964,100,77.898527
-97.38328,100,77.960763
-99.042355,100,78.0233
-98.273057,100,78.08644
-98.553872,100,78.149933
-97.735484,100,78.211764
-97.735484,100,78.273031
-97.513039,100,78.320868
-97.38328,100,78.367573
-97.38328,100,78.414001
-97.679873,100,78.460592
-97.38328,100,78.506823
-98.041738,100,78.580179
-98.709712,100,80.004477
-97.63399,100,80.081142
-97.875957,100,80.153779
-97.605725,100,80.225646
-99.193994,100,80.293776
-98.756566,100,80.362302
-98.144844,100,80.427731
-97.902317,100,80.493015
-97.86327,100,80.558464
-97.38328,100,80.606906
-97.38328,100,80.654639
-97.38328,100,80.702126
-97.38328,100,80.749269
-97.38328,100,80.796721
-98.958926,100,80.875901
-97.38328,100,80.941031
-97.627154,100,81.006046
-97.38328,100,81.066782
-99.427266,100,81.126571
-97.812524,100,81.187284
-98.163675,100,81.247139
-98.458427,100,81.307759
-99.141726,100,81.3733
-97.700316,100,81.432798
-97.38328,100,81.477486
-97.38328,100,81.522549
-97.38328,100,81.568879
-97.38328,100,81.61519
-97.38328,100,81.661858
-99.149855,100,81.732652
-98.736482,100,83.304011
-98.041738,100,83.381677
-98.188062,100,83.456751
-97.724703,100,83.529364
-97.407668,100,83.601609
-97.624262,100,83.672946
-99.506166,100,83.741009
-97.513039,100,83.808429
-98.529485,100,83.873063
-98.724584,100,83.922626
-98.870908,100,83.970967
-98.700196,100,84.018247
-98.57826,100,84.066421
-98.627034,100,84.113922
-99.236717,100,84.186651
-97.822252,100,84.254537
-99.469266,100,84.317278
-98.70907,100,84.378033
-98.84652,100,84.438456
-99.515027,100,84.498183
-98.347205,100,84.561342
-97.69841,100,84.620639
-97.846706,100,84.684839
-99.463328,100,84.744275
-98.675809,100,84.791143
-98.773358,100,84.837988
-98.870908,100,84.884265
-98.84652,100,84.931858
-98.919682,100,84.978242
-98.163675,100,85.049108
-97.865243,100,85.109402
-98.551112,100,86.588913
-97.587188,100,86.670802
-98.21245,100,86.746399
-99.591202,100,86.821668
-97.651541,100,86.893423
