#{"t_start": 1731492024.067815, "env_id": "None"}
r,l,t
-1000.0,1,2.107571
-1000.0,1,2.108373
-1000.0,1,2.109393
-1000.0,1,2.110188
-1000.0,1,2.110842
-1000.0,1,2.111466
-1000.0,1,2.112072
-1000.0,1,2.112674
-1000.0,1,2.113268
-1000.0,1,2.113873
-1000.0,1,2.114585
-1000.0,1,2.115294
-1000.0,1,2.116321
-1000.0,1,2.117491
-1000.0,1,2.118687
-1000.0,1,2.119637
-1000.0,1,2.120547
-1000.0,1,2.121268
-1000.0,1,2.122002
-1000.0,1,2.123105
-1000.0,1,2.123885
-1000.0,1,2.124538
-1000.0,1,2.125141
-1000.0,1,2.125745
-1000.0,1,2.126505
-1000.0,1,2.12719
-1000.0,1,2.127816
-1000.0,1,2.128532
-1000.0,1,2.129125
-1000.0,1,2.129721
-1000.0,1,2.130299
-1000.0,1,2.130891
-1000.0,1,2.131532
-1000.0,1,2.132684
-1000.0,1,2.133787
-1000.0,1,2.135171
-1000.0,1,2.136744
-1000.0,1,2.13781
-1000.0,1,2.139146
-1000.0,1,2.140233
-1000.0,1,2.140954
-1000.0,1,2.141642
-1000.0,1,2.14227
-1000.0,1,2.142898
-1000.0,1,2.14355
-1000.0,1,2.144341
-1000.0,1,2.145093
-1000.0,1,2.145811
-1000.0,1,2.146445
-1000.0,1,2.147062
-1000.0,1,2.147677
-1000.0,1,2.148327
-1000.0,1,2.14928
-1000.0,1,2.150623
-1000.0,1,2.152149
-1000.0,1,2.153608
-1000.0,1,2.154646
-1000.0,1,2.155751
-1000.0,1,2.156924
-1000.0,1,2.157744
-1000.0,1,2.158431
-1000.0,1,2.159093
-1000.0,1,2.159745
-1000.0,1,2.160419
-1000.0,1,2.161053
-1000.0,1,2.161756
-1000.0,1,2.162617
-1000.0,1,2.163333
-1000.0,1,2.163955
-1000.0,1,2.164577
-1000.0,1,2.165183
-1000.0,1,2.166112
-1000.0,1,2.167141
-1000.0,1,2.168489
-1000.0,1,2.170044
-1000.0,1,2.171301
-1000.0,1,2.172514
-1000.0,1,2.173756
-1000.0,1,2.174578
-1000.0,1,2.175467
-1000.0,1,2.176273
-1000.0,1,2.176945
-1000.0,1,2.17758
-1000.0,1,2.178246
-1000.0,1,2.179098
-1000.0,1,2.179845
-1000.0,1,2.1805
-1000.0,1,2.181325
-1000.0,1,2.182591
-1000.0,1,2.183689
-1000.0,1,2.1851
-1000.0,1,2.186913
-1000.0,1,2.188523
-1000.0,1,2.189373
-1000.0,1,2.190447
-1000.0,1,2.191462
-1000.0,1,2.192326
-1000.0,1,2.193101
-1000.0,1,2.193845
-1000.0,1,2.194557
-1000.0,1,2.195219
-1000.0,1,2.195935
-1000.0,1,2.196683
-1000.0,1,2.197492
-1000.0,1,2.198326
-1000.0,1,2.199414
-1000.0,1,2.200469
-1000.0,1,2.201501
-1000.0,1,2.202762
-1000.0,1,2.204078
-1000.0,1,2.205475
-1000.0,1,2.206838
-1000.0,1,2.208339
-1000.0,1,2.209705
-1000.0,1,2.210543
-1000.0,1,2.211282
-1000.0,1,2.211973
-1000.0,1,2.212674
-1000.0,1,2.21345
-1000.0,1,2.214185
-1000.0,1,2.215056
-1000.0,1,2.216353
-1000.0,1,2.217561
-1000.0,1,2.219036
-1000.0,1,2.220453
-1000.0,1,2.221879
-1000.0,1,2.222845
-1000.0,1,2.224091
-1000.0,1,2.225296
-1000.0,1,2.22633
-1000.0,1,2.227509
-1000.0,1,2.228614
-1000.0,1,2.229548
-1000.0,1,2.2303
-1000.0,1,2.230975
-1000.0,1,2.231677
-1000.0,1,2.232549
-1000.0,1,2.233752
-1000.0,1,2.235007
-1000.0,1,2.236326
-1000.0,1,2.237744
-1000.0,1,2.238886
-1000.0,1,2.240081
-1000.0,1,2.241235
-1000.0,1,2.241992
-1000.0,1,2.242677
-1000.0,1,2.243395
-1000.0,1,2.244237
-1000.0,1,2.244982
-1000.0,1,2.245762
-1000.0,1,2.246702
-1000.0,1,2.247457
-1000.0,1,2.248183
-1000.0,1,2.249182
-1000.0,1,2.25031
-1000.0,1,2.251745
-1000.0,1,2.253171
-1000.0,1,2.25454
-1000.0,1,2.255914
-1000.0,1,2.256932
-1000.0,1,2.258234
-1000.0,1,2.259091
-1000.0,1,2.259981
-1000.0,1,2.260773
-1000.0,1,2.26147
-1000.0,1,2.262141
-1000.0,1,2.262873
-1000.0,1,2.263725
-1000.0,1,2.264452
-1000.0,1,2.265349
-1000.0,1,2.266468
-1000.0,1,2.267691
-1000.0,1,2.269268
-1000.0,1,2.270991
-1000.0,1,2.272676
-1000.0,1,2.273633
-1000.0,1,2.274873
-1000.0,1,2.275906
-1000.0,1,2.276785
-1000.0,1,2.277574
-1000.0,1,2.27827
-1000.0,1,2.278947
-1000.0,1,2.27966
-1000.0,1,2.28039
-1000.0,1,2.281068
-1000.0,1,2.281735
-1000.0,1,2.282949
-1000.0,1,2.284563
-1000.0,1,2.285968
-1000.0,1,2.287402
-1000.0,1,2.288911
-1000.0,1,2.290308
-1000.0,1,2.291258
-1000.0,1,2.29229
-1000.0,1,2.29322
-1000.0,1,2.293981
-1000.0,1,2.294742
-1000.0,1,2.295536
-1000.0,1,2.296252
-1000.0,1,2.296922
-1000.0,1,2.297622
-1000.0,1,2.298586
-1000.0,1,2.299796
-1000.0,1,2.301439
-1000.0,1,2.302943
-1000.0,1,2.30448
-1000.0,1,2.305844
-1000.0,1,2.307189
-1000.0,1,2.308261
-1000.0,1,2.309215
-1000.0,1,2.310271
-1000.0,1,2.311101
-1000.0,1,2.311829
-1000.0,1,2.312526
-1000.0,1,2.31328
-1000.0,1,2.314053
-1000.0,1,2.314763
-1000.0,1,2.315819
-1000.0,1,2.317167
-1000.0,1,2.318553
-1000.0,1,2.320074
-1000.0,1,2.32158
-1000.0,1,2.32291
-1000.0,1,2.323978
-1000.0,1,2.325011
-1000.0,1,2.326134
-1000.0,1,2.327046
-1000.0,1,2.327809
-1000.0,1,2.328528
-1000.0,1,2.329251
-1000.0,1,2.329949
-1000.0,1,2.330926
-1000.0,1,2.332269
-1000.0,1,2.333979
-1000.0,1,2.335719
-1000.0,1,2.33788
-1000.0,1,2.339615
-1000.0,1,2.340814
-1000.0,1,2.341836
-1000.0,1,2.342795
-1000.0,1,2.343804
-1000.0,1,2.345132
-1000.0,1,2.345999
-1000.0,1,2.346802
-1000.0,1,2.34762
-1000.0,1,2.34917
-1000.0,1,2.351079
-1000.0,1,2.353041
-1000.0,1,2.354863
-1000.0,1,2.356209
-1000.0,1,2.357331
-1000.0,1,2.358333
-1000.0,1,2.359277
-1000.0,1,2.360336
-1000.0,1,2.361684
-1000.0,1,2.36257
-1000.0,1,2.363358
-1000.0,1,2.364045
-1000.0,1,2.36534
-1000.0,1,2.367145
-1000.0,1,2.36902
-1000.0,1,2.370904
-1000.0,1,2.372365
-1000.0,1,2.373281
-1000.0,1,2.374041
-1000.0,1,2.374858
-1000.0,1,2.37595
-1000.0,1,2.376959
-1000.0,1,2.377851
-1000.0,1,2.378651
-1000.0,1,2.379406
-1000.0,1,2.380463
-1000.0,1,2.381288
-1000.0,1,2.382483
-1000.0,1,2.384172
-1000.0,1,2.385835
-1000.0,1,2.387666
-1000.0,1,2.38951
-1000.0,1,2.390571
-1000.0,1,2.391593
-1000.0,1,2.392392
-1000.0,1,2.39315
-1000.0,1,2.393956
-1000.0,1,2.395031
-1000.0,1,2.396474
-1000.0,1,2.397476
-1000.0,1,2.398318
-1000.0,1,2.399396
-1000.0,1,2.400622
-1000.0,1,2.402091
-1000.0,1,2.403725
-1000.0,1,2.405405
-1000.0,1,2.407066
-1000.0,1,2.408178
-1000.0,1,2.409446
-1000.0,1,2.410443
-1000.0,1,2.411225
-1000.0,1,2.411919
-1000.0,1,2.412613
-1000.0,1,2.413316
-1000.0,1,2.414045
-1000.0,1,2.414938
-1000.0,1,2.416326
-1000.0,1,2.417738
-1000.0,1,2.4192
-1000.0,1,2.420711
-1000.0,1,2.421872
-1000.0,1,2.422989
-1000.0,1,2.424156
-1000.0,1,2.425095
-1000.0,1,2.42583
-1000.0,1,2.426585
-1000.0,1,2.427302
-1000.0,1,2.42798
-1000.0,1,2.428677
-1000.0,1,2.429482
-1000.0,1,2.430258
-1000.0,1,2.430929
-1000.0,1,2.431675
-1000.0,1,2.432963
-1000.0,1,2.434247
-1000.0,1,2.435818
-1000.0,1,2.437371
-1000.0,1,2.438497
-1000.0,1,2.439623
-1000.0,1,2.440786
-1000.0,1,2.441757
-1000.0,1,2.442596
-1000.0,1,2.443323
-1000.0,1,2.444037
-1000.0,1,2.444759
-1000.0,1,2.4455
-1000.0,1,2.446268
-1000.0,1,2.447005
-1000.0,1,2.447856
-1000.0,1,2.449237
-1000.0,1,2.450485
-1000.0,1,2.451896
-1000.0,1,2.453441
-1000.0,1,2.454876
-1000.0,1,2.456067
-1000.0,1,2.457275
-1000.0,1,2.458203
-1000.0,1,2.458991
-1000.0,1,2.459835
-1000.0,1,2.460606
-1000.0,1,2.461295
-1000.0,1,2.461987
-1000.0,1,2.462684
-1000.0,1,2.463446
-1000.0,1,2.464154
-1000.0,1,2.465034
-1000.0,1,2.466488
-1000.0,1,2.467859
-1000.0,1,2.469322
-1000.0,1,2.470644
-1000.0,1,2.471942
-1000.0,1,2.473239
-1000.0,1,2.474106
-1000.0,1,2.474838
-1000.0,1,2.475579
-1000.0,1,2.476266
-1000.0,1,2.476937
-1000.0,1,2.477661
-1000.0,1,2.478671
-1000.0,1,2.47946
-1000.0,1,2.48013
-1000.0,1,2.480804
-1000.0,1,2.481467
-1000.0,1,2.482155
-1000.0,1,2.483172
-1000.0,1,2.484247
-1000.0,1,2.485943
-1000.0,1,2.487528
-1000.0,1,2.488603
-1000.0,1,2.48966
-1000.0,1,2.490858
-1000.0,1,2.491854
-1000.0,1,2.492657
-1000.0,1,2.493323
-1000.0,1,2.493968
-1000.0,1,2.494607
-1000.0,1,2.495249
-1000.0,1,2.49594
-1000.0,1,2.496619
-1000.0,1,2.497591
-1000.0,1,2.499053
-1000.0,1,2.500175
-1000.0,1,2.501401
-1000.0,1,2.502895
-1000.0,1,2.504286
-1000.0,1,2.505469
-1000.0,1,2.506487
-1000.0,1,2.507524
-1000.0,1,2.508397
-1000.0,1,2.509258
-1000.0,1,2.512812
-1000.0,1,2.513942
-1000.0,1,2.515085
-1000.0,1,2.516112
-1000.0,1,2.517019
-1000.0,1,2.518375
-1000.0,1,2.52003
-1000.0,1,2.521377
-1000.0,1,2.522374
-1000.0,1,2.523392
-1000.0,1,2.524294
-1000.0,1,2.525236
-1000.0,1,2.526039
-1000.0,1,2.526812
-1000.0,1,2.527507
-1000.0,1,2.528174
-1000.0,1,2.528942
-1000.0,1,2.529683
-1000.0,1,2.530519
-1000.0,1,2.531277
-1000.0,1,2.532124
-1000.0,1,2.533119
-1000.0,1,2.533998
-1000.0,1,2.535294
-1000.0,1,2.536787
-1000.0,1,2.538162
-1000.0,1,2.539364
-1000.0,1,2.540342
-1000.0,1,2.541462
-1000.0,1,2.542449
-1000.0,1,2.543292
-1000.0,1,2.544044
-1000.0,1,2.544754
-1000.0,1,2.545413
-1000.0,1,2.546079
-1000.0,1,2.546882
-1000.0,1,2.547659
-1000.0,1,2.548702
-1000.0,1,2.549858
-1000.0,1,2.550975
-1000.0,1,2.552365
-1000.0,1,2.553769
-1000.0,1,2.555089
-1000.0,1,2.55667
-1000.0,1,2.557771
-1000.0,1,2.558583
-1000.0,1,2.559322
-1000.0,1,2.560045
-1000.0,1,2.560873
-1000.0,1,2.561653
-1000.0,1,2.562385
-1000.0,1,2.563193
-1000.0,1,2.563908
-1000.0,1,2.564795
-1000.0,1,2.565951
-1000.0,1,2.567196
-1000.0,1,2.568645
-1000.0,1,2.570004
-1000.0,1,2.571142
-1000.0,1,2.572268
-1000.0,1,2.573596
-1000.0,1,2.574392
-1000.0,1,2.575081
-1000.0,1,2.575773
-1000.0,1,2.576466
-1000.0,1,2.577101
-1000.0,1,2.577763
-1000.0,1,2.57852
-1000.0,1,2.579272
-1000.0,1,2.579933
-1000.0,1,2.580556
-1000.0,1,2.581158
-1000.0,1,2.581894
-1000.0,1,2.582956
-1000.0,1,2.583962
-1000.0,1,2.585659
-1000.0,1,2.587241
-1000.0,1,2.588343
-1000.0,1,2.589353
-1000.0,1,2.590591
-1000.0,1,2.591562
-1000.0,1,2.59235
-1000.0,1,2.593045
-1000.0,1,2.593728
-1000.0,1,2.594399
-1000.0,1,2.595053
-1000.0,1,2.595775
-1000.0,1,2.59645
-1000.0,1,2.597282
-1000.0,1,2.598157
-1000.0,1,2.599324
-1000.0,1,2.600447
-1000.0,1,2.602006
-1000.0,1,2.603541
-1000.0,1,2.60472
-1000.0,1,2.605584
-1000.0,1,2.606741
-1000.0,1,2.607535
-1000.0,1,2.608372
-1000.0,1,2.609123
-1000.0,1,2.609871
-1000.0,1,2.610555
-1000.0,1,2.611217
-1000.0,1,2.611944
-1000.0,1,2.612642
-1000.0,1,2.613421
-1000.0,1,2.614144
-1000.0,1,2.614852
-1000.0,1,2.615918
-1000.0,1,2.617007
-1000.0,1,2.618496
-1000.0,1,2.620219
-1000.0,1,2.621364
-1000.0,1,2.622276
-1000.0,1,2.623457
-1000.0,1,2.62444
-1000.0,1,2.625232
-1000.0,1,2.625929
-1000.0,1,2.626614
-1000.0,1,2.627301
-1000.0,1,2.627956
-1000.0,1,2.628673
-1000.0,1,2.629562
-1000.0,1,2.630279
-1000.0,1,2.630918
-1000.0,1,2.631606
-1000.0,1,2.632574
-1000.0,1,2.633638
-1000.0,1,2.635106
-1000.0,1,2.637135
-1000.0,1,2.638424
-1000.0,1,2.639484
-1000.0,1,2.64066
-1000.0,1,2.641753
-1000.0,1,2.642735
-1000.0,1,2.643519
-1000.0,1,2.644207
-1000.0,1,2.644852
-1000.0,1,2.645557
-1000.0,1,2.646261
-1000.0,1,2.646911
-1000.0,1,2.64783
-1000.0,1,2.64914
-1000.0,1,2.650234
-1000.0,1,2.651531
-1000.0,1,2.652986
-1000.0,1,2.654796
-1000.0,1,2.656101
-1000.0,1,2.656912
-1000.0,1,2.657667
-1000.0,1,2.658794
-1000.0,1,2.659941
-1000.0,1,2.660923
-1000.0,1,2.661685
